COTE;SURFACE;VOLUME
146.91;10.05;406260.34
146.92;10.07;407193.08
146.93;10.08;408125.82
146.94;10.1;409058.56
146.95;10.12;409991.3
146.96;10.14;410924.04
146.97;10.16;411856.78
146.98;10.17;412789.52
146.99;10.19;413722.26
147;10.21;414655
147.01;10.23;415772.77
147.02;10.25;416890.54
147.03;10.27;418008.31
147.04;10.29;419126.08
147.05;10.31;420243.85
147.06;10.32;421361.62
147.07;10.34;422479.39
147.08;10.36;423597.16
147.09;10.38;424714.93
147.1;10.4;425832.7
147.11;10.42;426950.47
147.12;10.44;428068.24
147.13;10.46;429186.01
147.14;10.48;430303.78
147.15;10.5;431421.55
147.16;10.52;432539.32
147.17;10.54;433657.09
147.18;10.55;434774.86
147.19;10.57;435892.63
147.2;10.59;437010.4
147.21;10.61;438128.17
147.22;10.63;439245.94
147.23;10.65;440363.71
147.24;10.67;441481.48
147.25;10.69;442599.25
147.26;10.71;443717.02
147.27;10.73;444834.79
147.28;10.75;445952.56
147.29;10.77;447070.33
147.3;10.78;448188.1
147.31;10.8;449305.87
147.32;10.82;450423.64
147.33;10.84;451541.41
147.34;10.86;452659.18
147.35;10.88;453776.95
147.36;10.9;454894.72
147.37;10.92;456012.49
147.38;10.94;457130.26
147.39;10.96;458248.03
147.4;10.98;459365.8
147.41;11;460483.57
147.42;11.01;461601.34
147.43;11.03;462719.11
147.44;11.05;463836.88
147.45;11.07;464954.65
147.46;11.09;466072.42
147.47;11.11;467190.19
147.48;11.13;468307.96
147.49;11.15;469425.73
147.5;11.17;470543.5
147.51;11.19;471661.27
147.52;11.21;472779.04
147.53;11.23;473896.81
147.54;11.24;475014.58
147.55;11.26;476132.35
147.56;11.28;477250.12
147.57;11.3;478367.89
147.58;11.32;479485.66
147.59;11.34;480603.43
147.6;11.36;481721.2
147.61;11.38;482838.97
147.62;11.4;483956.74
147.63;11.42;485074.51
147.64;11.44;486192.28
147.65;11.46;487310.05
147.66;11.47;488427.82
147.67;11.49;489545.59
147.68;11.51;490663.36
147.69;11.53;491781.13
147.7;11.55;492898.9
147.71;11.57;494016.67
147.72;11.59;495134.44
147.73;11.61;496252.21
147.74;11.63;497369.98
147.75;11.65;498487.75
147.76;11.67;499605.52
147.77;11.69;500723.29
147.78;11.71;501841.06
147.79;11.72;502958.83
147.8;11.74;504076.6
147.81;11.76;505194.37
147.82;11.78;506312.14
